id,label,x,y,,,,,,,
50469,Lissus,41.7829,19.6439,,,,,,,
50470,Salmantica,40.964,-5.663,,,,,,,
50471,Segedunum,54.987,-1.532,,,,,,,
50472,Ulpiana,42.5966,21.1747,,,,,,,
50473,Maiensis Statio,46.67,11.166,,,,,,,
50474,Portus Magnus,35.8079,-0.266018,,,,,,,
50476,Colubraria,39.8982,0.685189,,,,,,,
50482,Igilgili,36.8216,5.76666,,,,,,,
50483,Metagonium Pr.,37.0891,6.46696,,,,,,,
50485,Galata,37.5271,8.92862,,,,,,,
50486,Caralis,39.2149,9.10952,,,,,,,
50487,Gallicum Fretum,41.3874,9.1594,,,,,,,
50489,Ilva,42.7434,10.2397,,,,,,,
50491,Thaenae,34.67,10.7,,,,,,,
50492,Meninge,33.68,10.92,,,,,,,
50493,Mercurii Pr.,37.0616,11.0133,,,,,,,
50495,Clipea,36.84,11.11,,,,,,,
50498,Caput Vada,35.23,11.16,,,,,,,
50499,Cossyra,36.83,11.94,,,,,,,
50501,Maritima,37.97,12.06,,,,,,,
50502,Atria,45.05,12.07,,,,,,,
50504,Brundulum,45.19,12.31,,,,,,,
50505,Lilybaeum,37.7984,12.4375,,,,,,,
50507,Selinus,37.5828,12.8251,,,,,,,
50509,Tiliaventum (river),45.64,13.1,,,,,,,
50512,Melita,35.88,14.4,,,,,,,
50513,Camarina,36.85,14.45,,,,,,,
50515,Cephalae Pr.,32.37,15.21,,,,,,,
50516,Messana,38.1923,15.5566,,,,,,,
50518,Titius (river),43.72,15.86,,,,,,,
50520,Salapia,41.39,16.02,,,,,,,
50521,Heracleum Pr.,37.93,16.06,,,,,,,
50522,Aufidus,41.36,16.21,,,,,,,
50523,Lokroi Epizephyrioi,38.24,16.26,,,,,,,
50524,Lacinium Pr.,39.03,17.2,,,,,,,
50527,Kallipolis-Anxa,40.06,17.99,,,,,,,
50528,Epidaurum,42.58,18.22,,,,,,,
50529,Sallentinum Pr.,39.8,18.36,,,,,,,
50530,Hydruntum,40.15,18.49,,,,,,,
50531,Automalax,30.25,19.13,,,,,,,
50533,Acroceraunia Pr.,40.44,19.32,,,,,,,
50534,Aulon,40.51,19.42,,,,,,,
50535,Apollonia (Epirus),40.77,19.43,,,,,,,
50537,Corcyra,39.59,19.92,,,,,,,
50538,Euesperides,32.12,20.08,,,,,,,
50539,Leucas,38.83,20.71,,,,,,,
50540,Zacynthus,37.78,20.9,,,,,,,
50541,Ichthys Pr.,37.65,21.32,,,,,,,
50542,Alpheos (river),37.61,21.45,,,,,,,
50544,Patrae,38.26,21.74,,,,,,,
50545,Apollonia-Sozousa,32.93,21.75,,,,,,,
50546,Akitas Pr.,36.72,21.88,,,,,,,
50547,Tainaron Pr.,36.39,22.48,,,,,,,
50548,Gythion,36.76,22.57,,,,,,,
50549,Corinthus,37.91,22.88,,,,,,,
50550,Isthmia,37.941,22.987,,,,,,,
50551,Chersonesos Akra,32.61,23.12,,,,,,,
50552,Malea Pr.,36.44,23.2,,,,,,,
50553,Petras Mikros,32.17,23.45,,,,,,,
50554,Kriou Metopon Pr.,35.27,23.58,,,,,,,
50555,Chalcis,38.46,23.59,,,,,,,
50556,Kimaros Pr.,35.63,23.6,,,,,,,
50557,Sounion Pr.,37.65,24.03,,,,,,,
50558,Kaudos,34.86,24.06,,,,,,,
